Preprocessing Time (s),Feature Extraction Time (s),Prediction Time (s),Accuracy
0.024992,0.00497007,0.0580808,1
0.00966997,0.00230974,0.0224326,1
0.0103491,0.00160348,0.0254617,1
0.00850742,0.00171558,0.0222334,1
0.00986212,0.00190659,0.0300017,1
0.0107802,0.00202076,0.0213165,1
0.00976862,0.00193845,0.0266726,1
0.00980106,0.00220093,0.0234253,1
0.00960655,0.00207446,0.0208159,1
0.0102993,0.00241011,0.0223172,1
0.0273821,0.00468717,0.059662,1
0.0120649,0.00180525,0.0226675,1
0.00952974,0.00155882,0.0227183,1
0.0104455,0.0016712,0.019899,1
0.00906112,0.00209022,0.0220634,1
0.0134671,0.00220185,0.0169382,1
0.0115233,0.00268077,0.0218972,1
0.00904147,0.00170028,0.0189929,1
0.00738153,0.00163676,0.0180973,1
0.0093332,0.00207876,0.0242643,1
0.00910313,0.00172415,0.0269796,1
