Preprocessing Time (s),Feature Extraction Time (s),Prediction Time (s),Accuracy,Num Normals,CPU Utilization (%),Model Confidence,Precision,Recall,F1 Score
0.0165274,0.00905984,0.0335143,1,260,332.861,13.9001,1,1,1
0.00112948,0.0102335,0.00695458,1,203,332.861,11.5406,1,1,1
0.00072259,0.00191241,0.0105748,1,193,332.861,12.5748,1,1,1
0.00171832,0.00174361,0.0309712,1,193,332.861,11.4808,1,1,1
0.00208363,0.00883738,0.0126183,1,194,332.861,11.9066,1,1,1
0.000746336,0.000657334,0.00625788,1,193,332.861,12.6108,1,1,1
0.00102693,0.0017559,0.0252756,1,202,332.861,12.1025,1,1,1
0.0217042,0.00476727,0.0162872,1,257,332.861,14.0542,1,1,1
0.00134303,0.000486586,0.00661402,1,198,332.861,12.2468,1,1,1
0.00181064,0.0127653,0.0231642,1,197,332.861,12.4014,1,1,1
0.00154804,0.00612386,0.0148802,1,190,332.861,12.5084,1,1,1
0.00172,0.0219456,0.0336876,1,194,332.861,12.3038,1,1,1
0.000889435,0.00255254,0.0107535,1,192,332.861,10.1866,1,1,1
0.000553984,0.00190001,0.00756643,1,194,332.861,11.3849,1,1,1
0.0108851,0.00798,0.0328044,1,261,386.328,13.9705,1,1,1
0.00153798,0.000588984,0.0142239,1,195,386.328,10.9912,1,1,1
0.00064203,0.007654,0.0131117,1,192,386.328,11.4965,1,1,1
0.000822045,0.000583965,0.0114549,1,192,386.328,11.1904,1,1,1
0.00103247,0.00314188,0.0318223,0.99505,202,386.328,11.1991,1,0.99505,0.997519
0.00202927,0.00628082,0.0244267,1,196,386.328,11.7481,1,1,1
0.00113719,0.00526024,0.00979453,1,192,386.328,12.0576,1,1,1
0.000713093,0.00185589,0.0353123,1,198,386.328,11.4461,1,1,1
0.000924055,0.000654954,0.0121618,1,193,386.328,11.4825,1,1,1
0.000933409,0.00349671,0.0139959,1,194,386.328,11.2459,1,1,1
0.00116524,0.00143388,0.0210912,1,199,386.328,12.2481,1,1,1
0.00186681,0.0296126,0.009063,1,192,386.328,12.0369,1,1,1
0.00283091,0.00572702,0.0266932,1,190,386.328,11.9359,1,1,1
0.000699025,0.00953571,0.00891599,1,191,386.328,12.8293,1,1,1
0.00277234,0.00312597,0.0306788,1,194,386.328,12.8051,1,1,1
0.00113779,0.0128353,0.00771482,1,189,386.328,11.5257,1,1,1
0.000546224,0.000837422,0.00673287,1,195,386.328,11.8255,1,1,1
0.00221773,0.00682777,0.0247115,1,195,386.328,12.631,1,1,1
0.00218199,0.00960201,0.0221979,1,192,386.328,12.008,1,1,1
0.000545097,0.000396613,0.0066235,1,192,386.328,11.0068,1,1,1
0.00171161,0.00276147,0.0433226,1,198,386.328,12.1043,1,1,1
0.00139357,0.0158563,0.0077356,1,197,386.328,11.5445,1,1,1
0.000655727,0.00206348,0.0129714,1,196,386.328,11.2478,1,1,1
0.000746171,0.0045542,0.0130861,1,199,386.328,10.9637,1,1,1
0.00202234,0.00150759,0.0247788,1,199,386.328,11.4054,1,1,1
0.00123996,0.00671313,0.0121484,1,196,386.328,11.7276,1,1,1
0.000717114,0.00110764,0.0118422,1,191,386.328,11.5831,1,1,1
0.00184019,0.0013213,0.0262736,1,198,386.328,11.9679,1,1,1
0.00235277,0.00747031,0.0162918,1,193,386.328,11.5216,1,1,1
0.000678598,0.00079915,0.00878699,1,195,386.328,12.1547,1,1,1
0.00174165,0.00119413,0.0266503,1,193,386.328,11.4824,1,1,1
0.0023314,0.00404673,0.0204592,1,195,386.328,11.5192,1,1,1
0.0011075,0.00119588,0.0179785,1,194,386.328,11.5606,1,1,1
0.00189172,0.011926,0.0400722,1,187,386.328,11.6791,1,1,1
0.000849315,0.00600334,0.00855452,0.994737,190,386.328,11.0451,1,0.994737,0.997361
0.000721817,0.00105162,0.00942064,1,197,386.328,12.6679,1,1,1
0.00097542,0.00189532,0.0206485,1,196,386.328,11.3694,1,1,1
0.0018351,0.0112532,0.0304122,1,193,386.328,11.2717,1,1,1
0.00170431,0.00182215,0.0321469,1,187,386.328,11.1282,1,1,1
0.00150533,0.00302297,0.0114055,1,198,386.328,12.0115,1,1,1
0.000617664,0.000948337,0.00915269,0.946524,187,386.328,11.6217,1,0.946524,0.972527
0.00341701,0.0179674,0.0428208,0.994872,195,386.328,12.4019,1,0.994872,0.997429
