Preprocessing Time (s),Feature Extraction Time (s),Prediction Time (s),Accuracy,Num Normals,CPU Utilization (%),Model Confidence,Precision,Recall,F1 Score,True Positives,False Positives,False Negatives,True Negatives
0.00782711,0.00141466,0.018131,1,213,125.195,12.776,1,1,1,213,0,0,0
0.0109843,0.00161023,0.0191181,1,214,125.195,12.7532,1,1,1,214,0,0,0
0.00447892,0.000500054,0.00805043,1,206,125.195,12.6052,1,1,1,206,0,0,0
0.0133099,0.00306516,0.0248215,1,206,125.195,12.5769,1,1,1,206,0,0,0
0.00899345,0.000986846,0.0186419,1,216,125.195,12.879,1,1,1,216,0,0,0
0.00476467,0.00223277,0.0102351,1,212,125.195,12.5945,1,1,1,212,0,0,0
0.0115476,0.00324048,0.0264231,1,214,125.195,12.3596,1,1,1,214,0,0,0
0.0141603,0.00516993,0.0162505,1,214,125.195,12.1913,1,1,1,214,0,0,0
0.0034872,0.000467954,0.00888174,1,209,125.195,11.6138,1,1,1,209,0,0,0
0.0126416,0.00145726,0.0275851,1,214,115.137,11.8198,1,1,1,214,0,0,0
0.011411,0.00490984,0.00987645,1,214,115.137,12.6358,1,1,1,214,0,0,0
0.00335409,0.00131857,0.00733594,1,210,115.137,12.2868,1,1,1,210,0,0,0
0.0122549,0.00141957,0.0257187,1,210,115.137,12.5118,1,1,1,210,0,0,0
0.0099842,0.0114837,0.0121979,1,214,115.137,12.7591,1,1,1,214,0,0,0
0.0148392,0.00570762,0.0274393,1,217,115.137,12.3921,1,1,1,217,0,0,0
0.00462301,0.0014463,0.0126509,1,207,115.137,12.4252,1,1,1,207,0,0,0
0.0133301,0.0132899,0.0283445,1,215,115.137,12.0209,1,1,1,215,0,0,0
0.00575228,0.00225196,0.00934154,1,211,115.137,12.3405,1,1,1,211,0,0,0
0.00479179,0.00305513,0.0127559,1,210,115.137,12.4954,1,1,1,210,0,0,0
0.00987943,0.00234666,0.0221937,1,209,115.137,12.0582,1,1,1,209,0,0,0
0.0109543,0.00286767,0.0236738,1,212,115.137,12.687,1,1,1,212,0,0,0
0.0143542,0.0120322,0.0309676,1,210,115.137,12.0238,1,1,1,210,0,0,0
0.00391131,0.000976917,0.00912497,1,209,115.137,12.1965,1,1,1,209,0,0,0
0.00734241,0.000963295,0.0174709,1,208,115.137,12.4707,1,1,1,208,0,0,0
0.00845665,0.0018285,0.0177482,1,211,115.137,12.3586,1,1,1,211,0,0,0
0.00470002,0.00162006,0.0115688,1,214,115.137,12.1044,1,1,1,214,0,0,0
