Preprocessing Time (s),Feature Extraction Time (s),Prediction Time (s),Accuracy
0.00418836,0.0028539,0.0178481,1
0.00426418,0.0029367,0.0180057,1
0.00410241,0.00305733,0.0189525,1
0.00403644,0.00303945,0.0182165,1
0.00393667,0.00290679,0.0177654,1
0.00406996,0.00287263,0.0179428,1
0.00440947,0.00307949,0.0184155,1
0.00415933,0.00284586,0.0180188,1
0.00421182,0.00282775,0.0177506,0.994186
0.00408376,0.00307029,0.018757,1
0.00391582,0.00304778,0.018105,1
0.00409297,0.00304453,0.0182369,1
0.00406684,0.00270746,0.0173513,1
0.00414231,0.00279019,0.0174871,0.982143
0.003912,0.0028642,0.0175402,1
0.00383846,0.00274498,0.0177876,1
0.00379694,0.0028658,0.0177288,1
0.00380391,0.00278594,0.0175903,1
0.0037504,0.00271736,0.0174376,1
0.00388402,0.00268699,0.0177174,1
0.00396062,0.00304199,0.0180687,0.988701
0.00400073,0.00282919,0.017483,1
0.00393771,0.00300596,0.0176056,1
0.00410437,0.00290923,0.017692,1
0.00420331,0.00281203,0.0175745,0.988304
0.00409214,0.00290969,0.0175887,1
0.00410547,0.00287671,0.0178156,0.994152
0.00431176,0.00290731,0.0199654,1
0.00252107,0.00218889,0.0140333,1
0.00399871,0.00261707,0.0178232,1
0.00373815,0.00269758,0.0172255,1
0.00412103,0.00285615,0.0208326,1
0.00381585,0.00301948,0.0180856,1
0.00405409,0.00283642,0.019087,0.994152
0.00403586,0.00272096,0.0172641,1
0.00386756,0.00307376,0.0183845,0.994413
0.00393173,0.0028856,0.0180155,1
0.00382842,0.00282621,0.0179078,0.99422
0.00375758,0.00277496,0.0177782,1
0.00374528,0.00273324,0.0174421,0.994118
0.00382252,0.00272802,0.0172961,1
0.00368028,0.00289458,0.0183136,1
0.00411137,0.00290127,0.0182114,1
0.00375085,0.00280735,0.0177787,1
0.00383274,0.00283393,0.0183627,1
0.00396585,0.00287223,0.00569198,1
0.00418286,0.00281663,0.0178399,1
0.00413044,0.00289029,0.0179842,0.99422
0.00412172,0.00311226,0.0184954,1
0.00413216,0.00273436,0.0174165,1
0.00402892,0.00306594,0.0183242,1
0.00406589,0.00334478,0.0177014,0.994118
0.00418338,0.00281956,0.0172938,1
0.00402008,0.00296916,0.0181901,1
0.00531299,0.00321538,0.019139,1
0.00376052,0.0028431,0.0179645,1
0.00425164,0.00283865,0.0172144,1
0.0039869,0.00272191,0.0170244,1
0.00379747,0.00284073,0.0180491,0.988571
0.00381948,0.00290447,0.0183768,1
0.00384208,0.00268842,0.0171605,1
0.0038749,0.00279337,0.0174795,0.994152
0.00373183,0.00278626,0.0177987,1
0.00374611,0.00287943,0.0183529,0.994382
0.00398641,0.00274493,0.0179874,1
0.00384938,0.00288946,0.0183705,1
0.00372636,0.00268562,0.0171914,0.994048
0.00399753,0.00279721,0.0181055,1
0.00387363,0.0029076,0.0178864,1
0.00350046,0.00284204,0.0184076,1
0.00179731,0.00121144,0.0109009,0.994186
0.00396245,0.00274293,0.0176973,0.994186
0.00394411,0.00282747,0.0178754,1
0.00404908,0.00274508,0.0179391,1
0.00437639,0.00297518,0.0179386,1
0.00398568,0.00286574,0.0176461,1
0.00372806,0.00271201,0.018299,0.982143
0.00380498,0.00279899,0.0174341,0.988506
0.0040216,0.0028382,0.0178597,0.994118
0.00287036,0.0024051,0.0170834,0.994012
0.0038819,0.00294885,0.0181424,1
0.00416563,0.00301695,0.0184337,1
0.00400021,0.00282988,0.0175688,1
0.00386247,0.00287301,0.0177568,1
0.00386058,0.00277734,0.0179377,1
0.00377616,0.00284265,0.0175985,1
0.00371799,0.00279853,0.017736,0.99422
0.00406511,0.00286678,0.0182461,0.988701
0.00391411,0.00285818,0.0179528,1
0.00385161,0.00281111,0.0174604,0.994152
0.00394831,0.00271988,0.0174964,1
0.00369951,0.00284092,0.0179382,1
0.00371589,0.00288524,0.0177205,1
0.00375556,0.00289635,0.0185574,1
0.00390537,0.00271898,0.0175268,1
0.00377717,0.00283668,0.0176897,1
0.00380891,0.00272218,0.0174641,1
0.00375795,0.0026849,0.0173854,1
0.00381447,0.00291338,0.0180617,1
0.0040416,0.00280592,0.0180373,1
0.00268134,0.00190072,0.0124034,0.994286
0.00389861,0.00279032,0.0176743,1
0.00395959,0.00284862,0.019013,1
0.00385635,0.00300035,0.0179489,0.994318
0.0039765,0.00296837,0.0181013,1
0.0040231,0.00279618,0.0174992,1
0.00387962,0.00282566,0.0174643,1
0.00400304,0.00281252,0.0174128,1
0.00397392,0.00291488,0.0176485,1
0.00387127,0.00305384,0.0182294,1
0.00397794,0.00272811,0.0172168,1
